run 40000
Neighbor list info ...
  1 neighbor list requests
  update every 1 steps, delay 10 steps, check yes
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 14
  ghost atom cutoff = 14
  binsize = 7 -> bins = 9 9 9
Memory usage per processor = 3.8843 Mbytes
Step Time Lx Ly Lz Press Density Pxx Pyy Pzz PotEng Temp PotEng KinEng TotEng 
     670          670    67.206728    67.206728    67.206728    36.423612    2.5278923    41.462053    68.962584   -1.1538015   -10373.479    133.91617   -10373.479     2124.828   -8248.6512 
     675          675    67.276461    67.276461    67.276461   -5.4365279    2.5200398 -0.082753164    26.058401   -42.285231   -10361.003    134.11367   -10361.003    2127.9617   -8233.0411 
     680          680    67.332994    67.332994    67.332994   -36.839598    2.5136977   -31.186829   -6.4405052   -72.891459   -10349.513    134.38135   -10349.513     2132.209   -8217.3041 
     685          685    67.231781    67.231781    67.231781    49.343113    2.5250674    55.472811    79.849329      12.7072    -10350.86    135.30346    -10350.86    2146.8399   -8204.0202 
     690          690    67.280283    67.280283    67.280283    22.681537    2.5196105     29.08962    51.801548   -12.846558   -10340.963    135.65114   -10340.963    2152.3566   -8188.6066 
     695          695    67.475522    67.475522    67.475522   -109.71664    2.4978023   -103.31367   -83.265553   -142.57069   -10317.805     135.4203   -10317.805    2148.6938   -8169.1115 
     700          700     67.25497     67.25497     67.25497    61.603788    2.5224564    68.596807    88.514693    27.699864   -10330.752    136.88486   -10330.752    2171.9318   -8158.8205 
     705          705    67.266976    67.266976    67.266976    62.035901    2.5211061    69.244731    87.420975    29.441997   -10324.229    137.43626   -10324.229    2180.6808   -8143.5486 
     710          710    67.458415    67.458415    67.458415   -70.017339    2.4997031   -62.837818   -47.546397   -99.667803    -10303.18    137.26073    -10303.18    2177.8956   -8125.2843 
     715          715    67.361145    67.361145    67.361145    9.8499851    2.5105475    17.377451    31.309953    -19.13745    -10306.35    138.27456    -10306.35    2193.9819    -8112.368 
     720          720    67.339963    67.339963    67.339963    34.871691    2.5129173    42.661712    54.658615    7.2947446   -10302.642    138.99198   -10302.642    2205.3651   -8097.2767 
     725          725    67.438219    67.438219    67.438219   -28.441459    2.5019496   -20.564448   -11.137423   -53.622507   -10289.506    139.22012   -10289.506     2208.985    -8080.521 
     730          730     67.42157     67.42157     67.42157    -7.210466    2.5038035   0.96335553    8.1650056   -30.759759   -10285.678     139.9238   -10285.678    2220.1502   -8065.5275 
     735          735    67.370467    67.370467    67.370467      39.8523    2.5095055    48.424583    53.334288     17.79803   -10284.312    140.77555   -10284.312    2233.6648   -8050.6468 
     740          740    67.469345    67.469345    67.469345   -23.531882    2.4984884   -14.772897   -12.683404   -43.139345   -10271.022    140.99902   -10271.022    2237.2106   -8033.8119 
     745          745    67.485699    67.485699    67.485699   -25.954081    2.4966725   -16.791384   -17.468239   -43.602621    -10264.08    141.55907    -10264.08    2246.0967   -8017.9828 
     750          750    67.382761    67.382761    67.382761    59.406902    2.5081322    69.302651     65.77426    43.143795   -10266.438    142.61945   -10266.438    2262.9217    -8003.516 
     755          755    67.502044    67.502044    67.502044   -18.495048    2.4948593   -8.2297587   -14.952624   -32.302763   -10251.153    142.73609   -10251.153    2264.7724   -7986.3804 
     760          760     67.58444     67.58444     67.58444   -67.171328    2.4857455   -56.382263   -66.337888   -78.793831   -10237.614    142.99223   -10237.614    2268.8366   -7968.7777 
     765          765    67.374643    67.374643    67.374643    96.171657    2.5090389    108.28741    94.565912    85.661648    -10248.13    144.48613    -10248.13    2292.5401   -7955.5899 
     770          770    67.513252    67.513252    67.513252     3.874889     2.493617    16.574975  -0.57503257   -4.3752751   -10231.285    144.48991   -10231.285       2292.6   -7938.6847 
     775          775    67.680483    67.680483    67.680483   -103.23947    2.4751782   -90.017432   -110.35823   -109.34274   -10209.055    144.34904   -10209.055    2290.3649   -7918.6906 
     780          780    67.460321    67.460321    67.460321     64.37836    2.4994913    79.422972     54.20849    59.503618   -10221.425    145.86435   -10221.425    2314.4081   -7907.0171 
     785          785     67.54204     67.54204     67.54204    15.595902    2.4904298    31.579241    2.6767799    12.531684   -10207.925    146.07655   -10207.925     2317.775   -7890.1499 
     790          790    67.631919    67.631919    67.631919   -37.299517    2.4805141   -20.351742   -52.882525   -38.664284   -10192.855    146.23695   -10192.855    2320.3201   -7872.5347 
     795          795    67.568199    67.568199    67.568199    19.484137    2.4875384    38.024082   0.87280315    19.555525    -10190.78    147.05495    -10190.78    2333.2991   -7857.4812 
     800          800    67.588226    67.588226    67.588226    16.759739    2.4853278     36.60471   -4.6377118    18.312219   -10181.353    147.50413   -10181.353    2340.4262   -7840.9264 
     805          805     67.67106     67.67106     67.67106     -30.1953    2.4762124   -9.3579958   -53.998502   -27.229402   -10166.279    147.66713   -10166.279    2343.0124    -7823.267 
